,model,alpha,length,loc_error,num_traj,eduN,UCL,FCI,UPV-MAT,Erasmus MC,WUST ML A,WUST ML B,BIT,DecBayComp,Valencian Karatekas
183,sbm,0.45,160,1.0,4,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.0,1.0,0.0
184,sbm,0.45,160,1.5,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.2857142857142857
185,sbm,0.45,160,2.0,4,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,0.0,0.25
186,sbm,0.45,160,5.5,6,0.8333333333333334,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.0
187,sbm,0.45,160,6.0,7,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.42857142857142855,0.5714285714285714,0.7142857142857143,0.14285714285714285,0.14285714285714285
188,sbm,0.45,160,10.0,2,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.5,0.0
189,sbm,0.6500000000000001,160,1.0,4,0.5,0.5,0.25,0.5,0.25,0.25,0.0,0.0,0.25,0.25
190,sbm,0.6500000000000001,160,1.5,9,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.2222222222222222
191,sbm,0.6500000000000001,160,2.0,5,1.0,1.0,1.0,0.8000000000000002,1.0,0.8000000000000002,0.8000000000000002,0.20000000000000004,0.6,0.0
192,sbm,0.6500000000000001,160,5.5,8,0.875,0.625,0.625,0.625,0.75,0.25,0.375,0.375,0.125,0.25
193,sbm,0.6500000000000001,160,6.0,4,1.0,0.5,0.75,0.75,1.0,0.5,0.75,0.25,0.5,0.25
194,sbm,0.6500000000000001,160,10.0,7,1.0,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.0,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.14285714285714285
195,sbm,0.8500000000000001,160,1.5,4,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.25,1.0,0.25
196,sbm,0.8500000000000001,160,2.0,3,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
197,sbm,0.8500000000000001,160,5.5,7,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285
198,sbm,0.8500000000000001,160,6.0,8,0.875,0.875,0.875,0.75,0.875,0.5,0.5,0.375,0.25,0.25
